id,category,source_location,assumptions,derivation,prediction,observable,dependencies,test_file,status,bounded_conclusion,failure_type
C01,POSTULAATTI,"Artikkeli, abstrakti (hakukatkelma); Suntola DU-kirja","Avaruus on 4-pallon 3-pinta, säde R4",—,—,—,—,—,EI TESTATTU,Määritelmällinen lähtökohta; ei sellaisenaan havaittava.,—
C02,POSTULAATTI,"Artikkeli, abstrakti: nollaenergiaehto on liikeyhtälö",M c0^2 − G M M''/R4 = 0 kaikilla T,—,c0^2 = G M''/R4,—,"C01, C06",src/du_symbolic_checks.py,TOISTETTU,"Yhtälö on sisäisesti ristiriidaton ODE:na, kun G ja M'' ovat vakioita (lisäoletus C09).",—
C03,MÄÄRITELMÄ / LISÄOLETUS,Tehtävänanto: c0 ≡ dR4/dT,Valon nopeus samastetaan 4-säteen laajenemisnopeuteen,"Ei johdu C01–C02:sta: nollaenergiaehto antaa 4-nopeuden suuruuden, ei väitettä valon nopeudesta",—,—,C02,src/du_symbolic_checks.py,EI YKSILÖIDY,Erillinen postulaatti; ilman sitä laajenemishaara ei kytkeydy valon etenemiseen.,epäselvä määritelmä
C04,JOHDANTO,Tehtävänanto A2.1,"G, M'' vakioita; C1 = 0 (R4(0)=0)",dR4/dT = sqrt(GM''/R4) → (2/3)R4^{3/2} = sqrt(GM'')T,R4 = [(3/2)sqrt(GM'')T]^{2/3}; H = 2/(3T); c0 ∝ T^{-1/3},H0 (koordinaattiaika),"C02, C03",src/du_symbolic_checks.py; results/symbolic_checks.json,TOISTETTU,Sympy-johdanto ja ODE-residuaali 0. Integrointivakio siirtää vain aikaorigoa.,—
C05,JOHDANTO,Tehtävänanto A2.1 (ikä),Kellotaajuus f ∝ c0 (lisäoletus A-CLOCK),N = ∫ f dT; ikä nykykelloissa = N/f0 = (3/2)T0 = 1/H0,"Ikä = 1/H0 (13,4–14,5 Gyr H0=73…67,4)","Ikävertailut (vanhimmat tähdet, jäähtymisiät)","C04, C09",src/du_symbolic_checks.py,EHDOLLINEN,"Pätee vain A-CLOCK-oletuksella; koordinaattiaikaa 2/(3H0) ≈ 9,3 Gyr ei saa verrata kello-ikiin.",—
C06,EMPIIRINEN SYÖTE / JOHDANTO,Hakukatkelma: M'' = 0.776 M_Σ,Tasainen massa S^3:lla; 1/d-kerneli GEODEETTISELLA etäisyydellä,(2/π)∫₀^π sin²θ/θ dθ = (1/π)[ln2π + γ − Ci(2π)] = 0.775929,M'' = 0.776 M_Σ,—,C01,src/du_symbolic_checks.py,EHDOLLINEN,"Luku toistuu tällä kernelillä. Kerneli ei ole S^3:n Laplacen Greenin funktio ((π−θ)cotθ, ΔG=vakio+δ); kompaktin avaruuden Poisson-yhtälö antaisi eri paikallisen kenttälain. Kaksoislaskenta riippuu siitä, summataanko parit (½) vai testimassa (ei ½): c0² = GM''/R4 -muoto ilman ½.",epäselvä määritelmä / mahdollinen fysikaalinen ristiriita
C07,EMPIIRINEN SYÖTE,"Tehtävänanto: kerroin 0,991",—,"Testatut kernelit antavat 0.776, 0.849, 0.903, 1.000, 1.273, 0.926 (2-pallo)",—,—,C06,src/du_symbolic_checks.py,EI YKSILÖIDY,"Mikään testattu integraali ei tuota 0,991; alkuperä vaatii artikkelin tekstin.",datan puute (lähde estetty)
C08,JOHDANTO / EMPIIRINEN SYÖTE,Artikkelin yhtälö 19 (tehtävänanto); SPIE-katkelma: α = 1/(1.1049·4π³),"Kerroin 1,1049 annettu",1/(1.1049·4π³) = 0.007297387644402,α,α (CODATA 7.2973525643e-3),—,src/du_symbolic_checks.py,TOISTETTU (numeerinen) / EI YKSILÖIDY (kertoimen alkuperä),"Tekstin luku 0.00729735254 on CODATA-arvo, ei kaavan arvo. Ero 4,8e-6 selittyy täsmälleen kertoimen pyöristyksellä (tarkka kerroin 1.104905). Onko 1.104905 johdettu vai kalibroitu, ei voitu tarkistaa.",painovirhe/pyöristys; alkuperä avoin
C09,LISÄOLETUS,Tehtävänanto A1,"Massan vakioisuus, paikalliset gravitaatiolait, f_clock ∝ c0, sidotut järjestelmät laajenevat ∝ R4",Ei johdu C01–C02:sta,—,—,C02,reports/DU_AUDIT_FI.md,EI YKSILÖIDY,Nämä ovat itsenäisiä postulaatteja; niiden yhteensopivuus keskenään (esim. G vakio + m vakio + c0 muuttuu) vaatii erillisen tarkistuksen.,epäselvä määritelmä
C10,JOHDANTO (UUSI),A4-konstruktio,"Sama R4(T), c = dR4/dT, λ ∝ R4","L-A: D = R4o z/(1+z) (polun pituus); L-B: χ = ln(1+z), D_A = R4e sin χ",D_A eroaa 36 % z=1:ssä; L-B antipodi z = e^π−1 = 22.14,"Kulmakoko–z, magnitudi–z",C02–C04,src/du_symbolic_checks.py (A4),TOISTETTU (konstruktio),Globaali nollaenergiarajoite + c = dR4/dT EI määrää havaittavaa etäisyyttä: tarvitaan sulkuehto S^3-geometrian poikittaisesta kytkeytymisestä havaintoon.,puuttuva sulkuehto
